vowelSAMPA,F0,F1_Hz,F2_Hz,F3_Hz,target
y,228.6666667,325.3333333,1931,2569,0
3,216,592.3333333,1560.333333,2400.333333,0
o,186.3333333,341.3333333,935.3333333,2873.666667,0
u,245.6666667,258.6666667,768,2598.666667,0
9,209.6666667,728,1701.666667,2882.666667,0
2,252.3333333,386.6666667,1561.666667,2669.333333,0
9,207.6666667,627,1599.333333,2927,0
e,220.3333333,400.6666667,2447,3126,0
O~,226.3333333,442.6666667,2139.666667,3414,1
i,230,296.6666667,2304.333333,3495.333333,0
E~,214.6666667,598,1411,2933.333333,1
3,206,524.6666667,2244.333333,3054,0
3,230.3333333,530.3333333,2056.666667,2822.333333,0
o,213.3333333,370,824.3333333,3046.333333,0
y,232.3333333,281.6666667,2104,2663,0
3,181.3333333,542.6666667,2051,2707,0
9,220.6666667,671,1799.333333,2760.333333,0
i,220.6666667,268,1940,3218,0
O~,245,306.3333333,1067.333333,2280.333333,1
u,219.6666667,281.3333333,831,2171.333333,0
a~,206.6666667,702.6666667,1716.666667,3277,1
i,229.6666667,261,2095.333333,3331.333333,0
y,191,277.6666667,2147.666667,2425.666667,0
a~,227,586,1414,3214,1
2,189.3333333,333,1507.333333,2379,0
a,188.3333333,756,1407,2322.333333,0
u,226,258.3333333,943.3333333,2274.666667,0
2,224.3333333,387.6666667,1474.666667,2501.333333,0
a~,234.6666667,324,964.3333333,2719.666667,1
u,247,264.3333333,764,2528.333333,0
a~,230.3333333,690,1675.666667,3599.666667,1
a,202.3333333,759.6666667,1753.333333,2978,0
a,222.6666667,886.3333333,1709.666667,2964.333333,0
e,225.6666667,353.3333333,2475,3055,0
2,210.3333333,331,1536,2610.333333,0
2,219,366.3333333,1598.333333,2651.666667,0
9,197.3333333,658.6666667,1534,2944.333333,0
E~,210.3333333,548,1211.666667,2308,1
O~,225.6666667,436.6666667,1443.333333,2727.333333,1
3,199.6666667,559,1798.333333,2805,0
i,257.3333333,270.6666667,2224.666667,3333.333333,0
O~,221.6666667,262.3333333,1115.333333,2165,1
9,195.3333333,581,1695,2991.333333,0
a~,218.3333333,503,1347,2651.333333,1
o,222,363.6666667,1093.333333,2762.333333,0
a,220,741.3333333,1509.666667,2579.666667,0
2,258.3333333,373.6666667,1694.666667,2762.333333,0
9,216.6666667,623,1743.333333,2992.333333,0
3,209,636.3333333,2161,3052,0
E~,226,630.3333333,1455.666667,2570.333333,1
i,199,304.3333333,2189,3404.666667,0
e,199.3333333,340.6666667,2232,2954,0
E~,230,401.6666667,1208,2608.666667,1
e,210,388,2430.666667,3159.333333,0
o,204,368.3333333,1108.333333,2639.666667,0
e,230,332,2506,3072.333333,0
E~,200.6666667,478.3333333,1157.666667,2637,1
e,208,344,2471.666667,3051.333333,0
o,210.6666667,343.3333333,1142.333333,2616,0
i,199,299,2223,3154.333333,0
u,208.3333333,365.6666667,1265.666667,2203.666667,0
y,247.6666667,282.6666667,2093.666667,2421,0
y,204,274.6666667,1986,2348,0
E~,225.6666667,407.6666667,1056.666667,1867.333333,1
a~,196,608,1494.333333,3220,1
O~,227,350.3333333,1951,3241.333333,1
u,246,426.3333333,901.6666667,3221.666667,0
O~,235,302.3333333,1662.333333,3024.333333,1
y,202,236.6666667,1908.666667,2247.666667,0
o,245.3333333,390.6666667,954.6666667,2787,0
a,213.6666667,851.3333333,1593,3083,0
i,193.6666667,268,2175.666667,3315.666667,0
i,224,289,2421,3307.333333,0
u,221,322,1304.333333,2629,0
E~,222.3333333,408.3333333,1295.666667,2361,1
y,213,334.3333333,1810.666667,2467.333333,0
O~,197,306,1478,3018.333333,1
i,217.6666667,265.6666667,2339,3437.333333,0
3,205.6666667,485.3333333,2201,3053,0
O~,220.6666667,376.6666667,1714.333333,3087.666667,1
a~,203.6666667,599.6666667,1789.666667,3131.666667,1
y,236.3333333,278.6666667,2066,2522,0
a,176.3333333,695,1677,2865,0
e,186.6666667,351.3333333,2538,3080.333333,0
a~,188.3333333,649,1613,2708.333333,1
O~,212.3333333,355,1701.333333,2841.333333,1
e,241.6666667,433.3333333,2434.333333,3035,0
o,197,361.3333333,893.3333333,2752.333333,0
e,211.6666667,415.3333333,2394.333333,3114.666667,0
3,186,705.6666667,2045.666667,2950.333333,0
2,226.3333333,384.3333333,1701.333333,2905.666667,0
e,226.3333333,431.3333333,2434.666667,2983.333333,0
3,211.3333333,637.6666667,1647.666667,2619,0
a~,231.3333333,336.3333333,823.6666667,2279.333333,1
u,208.6666667,379.3333333,861,2615.333333,0
O~,221.3333333,289.3333333,899.3333333,2221,1
y,230,273,2147.666667,2801,0
o,189,333.6666667,1168.666667,2526,0
E~,225.6666667,355.6666667,1258,2107.666667,1
e,214.6666667,392.3333333,2437.333333,3116.333333,0
3,217,622,1665.666667,2372.666667,0
E~,213,438.3333333,1251,2261,1
2,224.6666667,395.3333333,1615.666667,2601.666667,0
9,176,678.6666667,1550.333333,2825,0
u,217,297,1065,2676.333333,0
3,199.3333333,478,2270.666667,3011.333333,0
o,225.6666667,350.6666667,902.3333333,2475,0
y,201.6666667,262,1836.666667,2389.666667,0
y,213,266,1929.666667,2394.333333,0
3,201,538.6666667,2152.333333,3060.333333,0
2,227.6666667,389,1718.333333,2793,0
o,232.6666667,369,970.6666667,2815.666667,0
9,224.6666667,653,1740.333333,2929,0
9,194.6666667,650.6666667,1607.666667,2922.333333,0
o,188.6666667,345.3333333,753.3333333,2952.666667,0
2,194.3333333,362,1479.333333,2425.666667,0
i,212.3333333,329,2272.333333,3378,0
2,210.6666667,392.3333333,1476.333333,2696.333333,0
a,193.3333333,710.3333333,1665.333333,3063.666667,0
9,190.6666667,640.6666667,1645.333333,2709.333333,0
a,187.6666667,773.6666667,1598.333333,2986.333333,0
a,221.6666667,767.3333333,1700.333333,3044.666667,0
O~,214.3333333,334,1337.333333,2658,1
E~,228.6666667,348,1191.666667,2074.333333,1
u,242.6666667,407.6666667,976.3333333,3244,0
9,179,601.3333333,1799.333333,2737.333333,0
a~,209.3333333,633,1739,3270.666667,1
2,216,393,1678.333333,2528,0
o,231.3333333,362,991,2659.333333,0
9,207.3333333,616.6666667,1799.333333,2891.666667,0
a~,224,433.6666667,1273,2824,1
u,246,275.3333333,827.3333333,2598.666667,0
O~,228.6666667,330,1093.666667,2245.666667,1
a~,206.3333333,568.3333333,1718,3314.333333,1
y,229,269,1706.666667,2364,0
u,232.6666667,379.3333333,814.3333333,2395.333333,0
a,217.3333333,793,1874,3062.333333,0
e,223.3333333,469,2356.333333,2984,0
E~,209.3333333,604.3333333,1621,3026,1
i,224,284.6666667,1346.333333,2851.333333,0
a,223.3333333,920,1736.333333,3066,0
E~,203,428.3333333,1192.666667,2550.666667,1
i,246.3333333,262.3333333,2454.333333,3665.666667,0
a,260.3333333,845.6666667,1506.666667,2725,0
y,249,374.6666667,2157.666667,2677.333333,0
3,232.6666667,680.6666667,1473.666667,2203,0
o,238,419,982.3333333,2892.666667,0
u,262.6666667,306,917.3333333,2450.333333,0
9,268,623.3333333,1864.666667,2914.333333,0
2,252.6666667,458.6666667,1632.333333,2666.333333,0
9,267.3333333,629,1803,2839,0
e,142,502,2209,3227,0
O~,242,474.3333333,1571.666667,2708.333333,1
i,265.6666667,283.3333333,2217,3368.333333,0
E~,232.6666667,550,1200.666667,1953.333333,1
3,270,583.3333333,2317.333333,3099.666667,0
3,214,628,1658,2337,0
o,250.3333333,490.6666667,882.6666667,2937,0
y,245,448.6666667,1575.666667,2816.666667,0
3,269.3333333,689.3333333,2130.666667,3185.333333,0
9,290,673,1912.666667,2682.666667,0
i,286.3333333,289,2320,3590,0
O~,232.6666667,338,1123,2832,1
u,254.3333333,344,824.3333333,2584.666667,0
a~,255,558.6666667,1034,2771.666667,1
i,259,265,2216.333333,3678,0
y,176.3333333,365,2070.333333,2428.333333,0
a~,221,606.6666667,843.3333333,2444.666667,1
2,224.3333333,363,1860.333333,2590.333333,0
a,247,828.3333333,1369.666667,2186.666667,0
u,204.6666667,324.6666667,881.6666667,2734.666667,0
2,253.3333333,455.6666667,1778.666667,2792.666667,0
a~,253.3333333,698,989.3333333,2778.333333,1
u,146,303.3333333,1177,2523,0
a~,250,693,1638.666667,3059.333333,1
a,239.6666667,736.3333333,1619,1821.666667,0
a,255.6666667,745,1623.333333,2321,0
e,253,486.3333333,1956,2994.666667,0
2,208,270.3333333,1783.666667,2721.666667,0
2,239.6666667,439,1942,2757,0
9,222,743,1683,2646,0
E~,243.6666667,850,1425.666667,3212.666667,1
O~,248,331.3333333,893,2970,1
3,231.6666667,741.6666667,2121.666667,3297.666667,0
i,273.6666667,302.6666667,2335,2465.333333,0
O~,257.3333333,286.3333333,1202.333333,2319.666667,1
9,237.3333333,725.3333333,1782.666667,2904.333333,0
a~,251,599.6666667,1023.666667,1959,1
o,229.3333333,428.6666667,1069,2900.333333,0
a,234,784.3333333,1689,3056,0
2,207.6666667,473,1847.666667,2821.666667,0
9,219.6666667,638.3333333,1833,2902.666667,0
3,249.3333333,669.6666667,1882.333333,3019.333333,0
E~,202.6666667,446.6666667,1036.333333,1755.666667,1
i,223,313.6666667,2167,3026.333333,0
e,232.6666667,438,1726.333333,2759,0
E~,266,837,1166.333333,2269.666667,1
e,239,449,2285,3399.333333,0
o,282.6666667,508.6666667,1154.333333,2747.666667,0
e,271.3333333,529.3333333,2311.333333,3366.666667,0
E~,242.3333333,714,1057.666667,1947.333333,1
e,284,511.3333333,1990,2695,0
o,269.3333333,497,1362.333333,2870.666667,0
i,252,296,2221.333333,3228.333333,0
u,246,396.6666667,872.6666667,2798.333333,0
y,222.6666667,255.3333333,2242.666667,2665.666667,0
y,243.3333333,323,2000.666667,2768.333333,0
E~,236,835.6666667,1403.666667,3684.666667,1
a~,228.3333333,609.3333333,1046.666667,2737.666667,1
O~,222.3333333,466.6666667,1134,2464.333333,1
u,160,410.6666667,1074.666667,3150.333333,0
O~,228.3333333,278.3333333,1055,2230.666667,1
y,146,298,1878.333333,2310.666667,0
o,252.3333333,463,888,2968,0
a,268.6666667,847,1579,2097,0
i,262.6666667,287,2172.333333,3639.333333,0
i,253.3333333,384,2467.333333,3282,0
u,147.3333333,317.3333333,1036.666667,2410,0
E~,235.3333333,802.6666667,1289.666667,3289,1
y,222.6666667,326.6666667,2073.666667,2568.333333,0
O~,252.3333333,321.6666667,970,2676.333333,1
i,253.6666667,275.3333333,2224.666667,3590.333333,0
3,249,520.6666667,2040.333333,2358.666667,0
O~,234,295.3333333,1344,2825.333333,1
a~,243.6666667,512,1058.333333,2436.333333,1
y,270,301.6666667,2209,2746.333333,0
a,238,732.6666667,1599.666667,1836,0
e,243,424,2048.666667,3166.333333,0
a~,263.6666667,513.3333333,916.6666667,2462.666667,1
O~,235,284.6666667,1335.666667,2463.666667,1
o,205.3333333,378.3333333,720.6666667,2830,0
e,268.6666667,468.6666667,1959,2943.333333,0
3,245.6666667,674,2054.666667,2770.333333,0
2,288.6666667,486.6666667,1705,3056.333333,0
e,234.6666667,455.3333333,2002,2682.666667,0
3,275.6666667,670.3333333,1303,2277,0
a~,239.3333333,702.6666667,1203.333333,2598,1
u,236.3333333,357.6666667,852,2813,0
O~,248,346.3333333,976.3333333,2302,1
y,268.3333333,309.3333333,2125.666667,2692.333333,0
o,237.6666667,447.6666667,1372.333333,3005,0
E~,215.3333333,817.3333333,1501.666667,3629,1
e,228.6666667,461.3333333,1840.333333,2760.666667,0
3,240,673,2128.666667,3326,0
E~,240.6666667,700,1387.333333,2822,1
2,274.3333333,417.3333333,1657.666667,2741.666667,0
9,238.3333333,746,1643,2816.333333,0
u,142.6666667,353,1030.333333,2443.333333,0
3,216.3333333,585,1253.333333,2385.333333,0
o,228.6666667,438.3333333,1127.333333,2623,0
y,256,317.3333333,1770.666667,2316,0
y,206,347,1893.333333,2596.666667,0
3,233.6666667,528.6666667,1635,2899.333333,0
2,250.3333333,477,1902.666667,2847.666667,0
o,201.6666667,450,1035.333333,2931.333333,0
9,249.6666667,651,1802,2400,0
9,190.3333333,768,1777.333333,2596,0
o,255.6666667,465.6666667,855.6666667,2866.666667,0
2,240.6666667,477,1733.333333,2539,0
i,232.6666667,285.3333333,2212.666667,3569,0
2,258.3333333,478.3333333,1551.333333,2856.666667,0
a,215.6666667,817.3333333,1446.333333,2028.666667,0
9,215,651.6666667,1745,2151.666667,0
a,217,839,1596,2732,0
a,238.3333333,789,1555,2422.666667,0
O~,263.6666667,306,1211.666667,2205.333333,1
E~,236,636.6666667,1164.666667,1509.666667,1
u,207.3333333,398.3333333,1021,2966,0
9,214.3333333,613,1936,2915.666667,0
a~,245.6666667,523.6666667,999,2189,1
2,241.6666667,402.6666667,1836.666667,2460.666667,0
o,220.6666667,441,1152.333333,2829.666667,0
9,261.6666667,726,1817,2862.666667,0
a~,234.6666667,663,1021.333333,2187,1
u,258.3333333,349.6666667,1061.333333,3144.333333,0
O~,221.6666667,502.6666667,1457,3285.333333,1
a~,235,758.3333333,1039.666667,3370.333333,1
y,227.6666667,259.3333333,1959,2255.666667,0
u,243.6666667,444,927.6666667,3018.333333,0
a,236,741.3333333,1723.333333,2293,0
e,255,486,2133,3112,0
E~,234,579.6666667,1145.333333,1930,1
i,239.3333333,246,1280,2463.333333,0
a,224.6666667,881.3333333,1483.333333,2284,0
E~,284,692.3333333,1105.666667,1899.666667,1
i,206.6666667,330,2203,2510.666667,0
a,231.3333333,754.6666667,1829.333333,2808.666667,0
y,218.6666667,385,2238,2675.666667,0
3,214.3333333,708.6666667,2031.333333,2854.666667,0
o,223.6666667,396.6666667,1003,2622.666667,0
u,234.3333333,270.3333333,897,2517.333333,0
9,219,629.6666667,1791,2773.666667,0
2,229.3333333,416.3333333,1829.333333,2659.333333,0
9,217.6666667,686,1738.666667,2728.333333,0
e,219,429.3333333,2375.333333,3168.333333,0
O~,235.3333333,347.6666667,993.6666667,2338.333333,1
i,227.3333333,361,2531,3447.666667,0
E~,207.6666667,608.3333333,1805,2744.666667,1
3,204.6666667,594,2138.666667,2990.666667,0
3,238.6666667,601.3333333,2155,3039,0
o,230,411.3333333,933.6666667,2585,0
y,215.3333333,342.6666667,2151.666667,2592.333333,0
3,229.6666667,691,2071.333333,2790.333333,0
9,223,624.6666667,1829,2625.666667,0
i,225.3333333,305,2485.666667,3570,0
O~,225.3333333,388.3333333,752.3333333,2476.666667,1
u,227,265.6666667,694.3333333,2498.666667,0
a~,227.6666667,482,945.3333333,2437,1
i,210.6666667,329,2437,3584,0
y,227.3333333,286.6666667,2356,2661,0
a~,208,507.3333333,867.6666667,2467.333333,1
2,204,386.6666667,1873,2835.666667,0
a,219,873,1778.333333,2637.666667,0
u,219.6666667,245.3333333,751.3333333,2504.333333,0
2,216.6666667,395,1641.666667,2165,0
a~,213.6666667,576,951.6666667,2507.333333,1
u,218.3333333,274.3333333,822,2602.666667,0
a~,219,466.6666667,959.3333333,2472,1
a,232.6666667,824,1803.333333,2839.666667,0
a,220,770,1998.666667,2850,0
e,228.6666667,425.6666667,2390.666667,3328.333333,0
2,210.6666667,386.3333333,2122.666667,2993.666667,0
2,221.3333333,402.6666667,2018.333333,2870.333333,0
9,207.6666667,613.6666667,1558.666667,2725,0
E~,204.3333333,683.6666667,1804,2706.333333,1
O~,216.6666667,409.3333333,1369.666667,2901.333333,1
3,227,696.3333333,2068.666667,2824.666667,0
i,225.6666667,312,2489.666667,3807.666667,0
O~,219.3333333,306.6666667,935.6666667,2450.666667,1
9,229.6666667,645.3333333,1728.333333,2659,0
a~,227,470.6666667,1070.666667,2411.666667,1
o,225,381.3333333,1048.333333,2622.333333,0
a,219.6666667,894.6666667,1633.666667,2760,0
2,229.3333333,423.6666667,1983.333333,2784,0
9,219.6666667,676.3333333,1763.333333,2746.666667,0
3,222,683.6666667,2006.666667,2750,0
E~,220.3333333,871,1572,3134.333333,1
i,208.6666667,344.3333333,2550.666667,3562.666667,0
e,214.6666667,415.6666667,2412,3185.333333,0
E~,219.6666667,844.3333333,1622.333333,2947.333333,1
e,214.6666667,421,2338.666667,3162.666667,0
o,219,413,1192.666667,2535.333333,0
e,226.6666667,428.3333333,2435.333333,3279.333333,0
E~,217,641.6666667,1432,2273,1
e,216.3333333,478,2373.333333,3103.666667,0
o,223.6666667,404.3333333,1279,2625,0
i,221.6666667,288,2420.333333,3473.666667,0
u,226,342.3333333,759.6666667,2583,0
y,228.6666667,278.3333333,2160.333333,2542.666667,0
y,223.6666667,291,2149.666667,2548.666667,0
E~,221.6666667,791,1685,2481.333333,1
a~,222.6666667,433,917.3333333,2555.333333,1
O~,221,411.3333333,1019.333333,2477,1
u,247.3333333,423.3333333,1173.333333,2574.666667,0
O~,215.6666667,410.3333333,1512.666667,2921.333333,1
y,209.6666667,335.3333333,2357,2912,0
o,218,415,959,2590.666667,0
a,222.3333333,788.6666667,1827.333333,2839.333333,0
i,211.6666667,251.6666667,2438.333333,3429.333333,0
i,218.3333333,368,2446,3459.666667,0
u,210.3333333,260,1310,2502.666667,0
E~,219,626,1915.333333,2465.333333,1
y,217.3333333,403.3333333,1952,2583.333333,0
O~,237,568.6666667,1825.666667,3244.333333,1
i,219,253,2390,3655.666667,0
3,228.3333333,538.6666667,2103.666667,2925.333333,0
O~,222.3333333,317.3333333,1009.666667,2555.666667,1
a~,227.6666667,411.3333333,1130.666667,2561.333333,1
y,223,297,2302.333333,2576.666667,0
a,224.3333333,853.3333333,1772.333333,2704.333333,0
e,218,415.3333333,2314.666667,2972.333333,0
a~,226.3333333,342,925.3333333,2505,1
O~,215,470.6666667,1324.333333,2471.333333,1
e,238.3333333,451,2388.333333,3242.333333,0
o,213.3333333,371.6666667,809.6666667,2634.666667,0
e,214,417.6666667,2292.666667,3105.333333,0
3,222.6666667,672.6666667,2148,2885,0
2,224,391,1852,2817.333333,0
e,220.6666667,389.6666667,2430,2887.666667,0
3,220,662.3333333,2005.666667,2922,0
a~,224.3333333,323.6666667,934.6666667,2331.333333,1
u,238.3333333,330.6666667,788.6666667,2583,0
O~,220.3333333,410,1220,2557.333333,1
y,220.6666667,333.3333333,2379,2783.666667,0
o,219,390.6666667,1124.666667,2527,0
E~,227.6666667,857.3333333,1574.333333,2756.333333,1
e,221.3333333,417.6666667,2351,3225.333333,0
3,219,672,2059.333333,2869,0
E~,223,847,1619.666667,2780,1
2,227.6666667,422.3333333,1834,2602.666667,0
9,210.6666667,646.3333333,1657,2647.333333,0
u,223.3333333,339.6666667,1363.333333,2705.333333,0
3,206.6666667,574,2168.333333,3094,0
o,231,419,996.3333333,2592.333333,0
y,232,296.6666667,2331.666667,2632.333333,0
y,211.3333333,366.6666667,2119.666667,2484.666667,0
3,212.3333333,667.3333333,2000.666667,2844.666667,0
2,230,428.3333333,1920,2793.333333,0
o,215.3333333,395.6666667,1126.333333,2597.333333,0
9,261.6666667,753,1889.333333,2761.666667,0
9,207,639.6666667,1774.333333,2669.666667,0
o,221.3333333,404.6666667,737.3333333,2648.666667,0
2,215.3333333,400.3333333,1936.666667,2599.333333,0
i,230.6666667,450.3333333,2700.666667,3619,0
2,228.3333333,406.6666667,1921.333333,2569.666667,0
a,208.6666667,824.3333333,1654,2720,0
9,224,588,1783.333333,2727,0
a,200.3333333,684,1813.333333,2835.666667,0
a,212,921.6666667,1878,2782.333333,0
O~,217.6666667,326.3333333,1010.666667,2371.666667,1
E~,213.3333333,737,1412.333333,2310.666667,1
u,239,458,1144,2702.333333,0
9,214.6666667,570,1977.666667,2755.666667,0
a~,219.3333333,520,1472.666667,3024.333333,1
2,231.3333333,422.3333333,2111,2577.666667,0
o,213.3333333,362.6666667,1263,2813.333333,0
9,212.3333333,641.3333333,1845.666667,2741.333333,0
a~,227.6666667,560.6666667,983.6666667,2574,1
u,256.3333333,269.3333333,943.3333333,2607,0
O~,229,317.6666667,1035,2505,1
a~,219.3333333,600,1142.666667,2491.666667,1
y,225.3333333,353.3333333,2174.333333,2470.666667,0
u,222.6666667,407.3333333,890.3333333,2556,0
a,223,838.6666667,1772.333333,2719.666667,0
e,218.3333333,424.6666667,2337.333333,3130.666667,0
E~,213.6666667,780.3333333,1775.333333,2844,1
i,218.3333333,376.3333333,2759.666667,3904.333333,0
a,217.3333333,808.3333333,1934.666667,2855.333333,0
E~,226,914,1660.333333,2753,1
i,207.6666667,319.6666667,2608.666667,3777.333333,0
a,146.6666667,565.6666667,1587.666667,2591,0
y,140.6666667,351.6666667,1707.333333,2442,0
3,137.6666667,503,1668,2515.333333,0
o,136.6666667,393,1055,2689.333333,0
u,150.6666667,363.6666667,1082,2636.333333,0
9,154,456.6666667,1511.666667,2592.333333,0
2,140,391.6666667,1530.666667,2365,0
9,144.6666667,464.6666667,1357,2495.666667,0
e,149.3333333,401.6666667,1868,2731,0
O~,146.6666667,459.6666667,1057,2165.333333,1
i,146.3333333,314,2074,2717,0
E~,134,654.3333333,1258.333333,2810.666667,1
3,137.3333333,388,1873.333333,2575.333333,0
3,142,374.3333333,1991.333333,2652.666667,0
o,139.6666667,403.3333333,856.3333333,2676,0
y,148,401.6666667,1352,2412.333333,0
3,150,518,1777.333333,2644.333333,0
9,150,438.6666667,1629,2395,0
i,151.6666667,315.6666667,2066.666667,2812.333333,0
O~,143,485.3333333,1116.333333,2209.666667,1
u,141.6666667,373.3333333,907.3333333,2566.666667,0
a~,146.6666667,566,1145,2575.666667,1
i,149,292,2177.666667,2912,0
y,149.6666667,311,1882,2458,0
a~,134.6666667,766.3333333,1106.666667,2773,1
2,138.6666667,389,1596.333333,2373.333333,0
a,150.3333333,578,1543,2466,0
u,143.3333333,339.6666667,991.6666667,2453,0
2,140,402,1503.666667,2426,0
a~,143.6666667,740,1198,2891,1
u,142.6666667,335.6666667,813.3333333,2765.333333,0
a~,145.3333333,585.3333333,1209.666667,2844.333333,1
a,155.6666667,566.6666667,1662.666667,2733.333333,0
a,138.6666667,546.6666667,1660.333333,2497,0
e,148.6666667,385,1896,2581.666667,0
2,135.3333333,363.6666667,1676,2408.666667,0
2,148,359,1675,2405,0
9,136,507.6666667,1332,2364.333333,0
E~,141,550.6666667,1416.333333,2684,1
O~,154.6666667,703,1213.666667,2883.666667,1
3,142,488.3333333,1781.666667,2552,0
i,150,316,2066,2713.666667,0
O~,154,499,1108.666667,2600.666667,1
9,138.6666667,426.6666667,1465,2617,0
a~,140,676.6666667,1045.333333,2803.333333,1
o,150,398,1264.333333,2644.333333,0
a,144.3333333,588.3333333,1408,2484.333333,0
2,141,373.6666667,1638.333333,2442.666667,0
3,145.6666667,473,1592.333333,2476.666667,0
E~,143,693.3333333,1350.333333,2550,1
i,140.6666667,313.6666667,2126,2795,0
e,139,382.6666667,1868,2672.333333,0
E~,151,647.3333333,1397,2725,1
e,143,419.3333333,1782.666667,2492.666667,0
o,148.6666667,407.3333333,1194,2518,0
e,151.6666667,388.6666667,1954.333333,2605,0
E~,138,549.3333333,1339.666667,2760.333333,1
e,145,428,1881,2462.666667,0
o,140.3333333,402,1308,2634.666667,0
i,140.6666667,317.3333333,1975.666667,2738,0
u,138,389,1107.333333,2461.666667,0
y,141.3333333,312.3333333,1874.333333,2501,0
y,143,359.6666667,1686,2351.333333,0
E~,143.3333333,596,1548.333333,2584,1
a~,138,748.6666667,928.6666667,2613,1
O~,137,601.6666667,1178.333333,2619.666667,1
u,150,401.6666667,983.6666667,2680.666667,0
O~,158,536.6666667,1063.333333,2945,1
y,144,315,1802.666667,2462,0
o,144.3333333,392.3333333,1014,2618.666667,0
a,142,497,1642.666667,2697.666667,0
i,137,283,2171.333333,2960.333333,0
i,157.3333333,347.3333333,1939.333333,2742.333333,0
u,139,409.6666667,864.3333333,2791.333333,0
E~,140.3333333,523.6666667,1520,2539.666667,1
y,141,356.3333333,1684.666667,2545.666667,0
O~,157,486,986.3333333,2945,1
i,144,309.3333333,2044.666667,2767.333333,0
3,144.6666667,374,1872.666667,2691.333333,0
O~,153,553.3333333,1006.333333,2875,1
a~,142.3333333,746.6666667,1118,2935.666667,1
y,144.6666667,308,1886,2490.666667,0
a,139.6666667,535.3333333,1547.333333,2707.333333,0
e,136.3333333,407.3333333,1829.333333,2617,0
a~,156.3333333,607.6666667,987.6666667,2708,1
O~,143,424.6666667,886.6666667,1904.333333,1
e,153,391.6666667,1835,2631.666667,0
o,140.3333333,406,930,2570.666667,0
e,148,418.3333333,1859,2594.666667,0
3,137.6666667,484.6666667,1786.333333,2626,0
2,151.3333333,402.6666667,1530,2689,0
e,141.6666667,423.6666667,1788,2565,0
3,156,463.6666667,1670,2500,0
a~,140.6666667,731.6666667,1102.333333,2628.333333,1
u,143.3333333,396,963,2580,0
O~,154.6666667,615,1097.666667,2945,1
y,146.6666667,299.6666667,1886.666667,2470,0
o,143.6666667,397,1292.333333,2695.666667,0
E~,149.3333333,662.6666667,1562.666667,2770,1
e,141.3333333,388.6666667,1886,2621.333333,0
3,160,469,1661.333333,2591.333333,0
E~,149.3333333,595.6666667,1485.333333,2681.666667,1
2,151.6666667,412.3333333,1666.333333,2428.666667,0
9,135.6666667,494,1368.666667,2339,0
u,143.6666667,360.6666667,1072.666667,2679.333333,0
3,137.3333333,373.6666667,1931.333333,2549.666667,0
o,140,403.6666667,1229.333333,2397,0
y,146.3333333,312,1725.333333,2531,0
y,144.6666667,334,1440,2451.666667,0
3,147.6666667,540.3333333,1569.333333,2634.333333,0
2,152.6666667,345,1665,2471.333333,0
o,145,416,1167,2656,0
9,140.3333333,491.3333333,1574.666667,2401.666667,0
9,132,554.3333333,1275,2485.333333,0
o,138,396.3333333,891,2684.666667,0
2,143,412.3333333,1413.666667,2295.666667,0
i,158.6666667,377.3333333,2023.333333,2608,0
2,141,401.6666667,1370.666667,2354,0
a,138.3333333,575.3333333,1403,2522.333333,0
9,140.6666667,434.6666667,1571.333333,2574,0
a,132.3333333,551.3333333,1639,2561.666667,0
a,132.3333333,601.6666667,1539,2418.333333,0
O~,140.3333333,522.6666667,1148.666667,2879,1
E~,140,852.3333333,1183.666667,2545,1
u,139.6666667,415.3333333,1020,2633,0
9,147.6666667,432.6666667,1663.333333,2449,0
a~,133,503,823.6666667,2529,1
2,144.6666667,397,1633.666667,2283.333333,0
o,139.3333333,398.6666667,992.6666667,2662.666667,0
9,136.6666667,477,1579,2392,0
a~,134,763,1129.666667,2699,1
u,160.6666667,339.6666667,1007.666667,2517,0
O~,147.3333333,416,988,2865.333333,1
a~,149,557.3333333,1148.666667,2883,1
y,145.3333333,353.3333333,1620.333333,2319,0
u,152.3333333,373.3333333,916.3333333,2768.333333,0
a,145.6666667,533,1503.666667,2517.666667,0
e,148.6666667,408.3333333,1867.333333,2553.333333,0
E~,153.3333333,669.3333333,1291.333333,2790.333333,1
i,133.3333333,376,1991,2798.666667,0
a,134.6666667,585,1624,2584,0
E~,133.3333333,516.3333333,1393,2761.666667,1
i,144.6666667,291,2240,2879.333333,0
a,153.6666667,621.6666667,1334.666667,2317.666667,0
y,161.3333333,388.3333333,1602.666667,2330.333333,0
3,143.6666667,559,1478,2312,0
o,153,502,1139,2441,0
u,151.6666667,320.3333333,784.6666667,2198.333333,0
9,150,508,1422.333333,2364.333333,0
2,146.6666667,426,1469.333333,2212.333333,0
9,152.3333333,500.6666667,1385.666667,2292.666667,0
e,160.6666667,415.6666667,1659.333333,2507,0
O~,137.3333333,576.6666667,1485,2200,1
i,158.6666667,289.3333333,1909,2773,0
E~,130.3333333,600.6666667,1258.333333,2201.666667,1
3,142.3333333,422.6666667,1772.333333,2475.333333,0
3,154,416.6666667,1780,2538,0
o,143.3333333,477.6666667,1090.333333,2278.666667,0
y,157.6666667,365,1667,2378.666667,0
3,146.3333333,527.6666667,1540,2327,0
9,150,499.3333333,1492,2338,0
i,157,302,1854.666667,2765.666667,0
O~,144.6666667,561.6666667,1323.333333,2235,1
